#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0002417	FBgn0002417	lethal (3) DTS4	l(3)DTS4
FBgn0015405	FBgn0015405	lethal (1) 11Fc	l(1)11Fc
FBgn0002418	FBgn0002418	lethal (3) DTS6	l(3)DTS6
FBgn0283471	FBgn0283471	wings up A	wupA
FBgn0000308	FBgn0000308	chickadee	chic
FBgn0010139	FBgn0010139	lethal (2) DTS20	l(2)DTS20
FBgn0263490	FBgn0263490	molting defective	mld
FBgn0015950	FBgn0015950	helter-skelter	hsk
FBgn0015582	FBgn0015582	defective in the avoidance of repellents	dare
FBgn0262743	FBgn0262743	Female sterile (2) Ketel	Fs(2)Ket
FBgn0001549	FBgn0001549	lethal (1) 16Fc	l(1)16Fc
FBgn0264270	FBgn0264270	Sex lethal	Sxl
FBgn0002057	FBgn0002057	lethal (2) 40Fa	l(2)40Fa
FBgn0260632	FBgn0260632	dorsal	dl
FBgn0001548	FBgn0001548	lethal (1) 16Fb	l(1)16Fb
FBgn0005206	FBgn0005206	lethal (3) DTS10	l(3)DTS10
FBgn0014995	FBgn0014995	osk::Dvir\osk	osk::Dvir\osk
FBgn0266599	FBgn0266599	Heat shock protein 70 cognate 4	Hsc70-4
FBgn0087040	FBgn0087040	alpha-Tubulin at 67C	alphaTub67C
FBgn0263755	FBgn0263755	Suppressor of variegation 3-9	Su(var)3-9
FBgn0001920	FBgn0001920	lethal (2) 25Ca	l(2)25Ca
FBgn0002566	FBgn0002566	light	lt
FBgn0004644	FBgn0004644	hedgehog	hh
FBgn0002415	FBgn0002415	lethal (3) DTS2	l(3)DTS2
FBgn0010149	FBgn0010149	lethal (3) DTS-I165	l(3)DTS-I165
FBgn0000533	FBgn0000533	easter	ea
FBgn0000299	FBgn0000299	Collagen type IV alpha 1	Col4a1
FBgn0004072	FBgn0004072	female sterile (2) maternal effect lethal 6	fs(2)mel6
FBgn0003339	FBgn0003339	Sex combs reduced	Scr
FBgn0003449	FBgn0003449	sans fille	snf
FBgn0069202	FBgn0069202	lethal (2) 46Fb	l(2)46Fb
FBgn0003733	FBgn0003733	torso	tor
FBgn0005146	FBgn0005146	lethal (2) DTS9	l(2)DTS9
FBgn0260642	FBgn0260642	Antennapedia	Antp
FBgn0002414	FBgn0002414	lethal (3) DTS1	l(3)DTS1
FBgn0003407	FBgn0003407	sieve	sie
FBgn0000182	FBgn0000182	Bicaudal C	BicC
FBgn0001027	FBgn0001027	Female sterile (3) Apc	Fs(3)Apc
FBgn0002618	FBgn0002618	Minute (3) 80	M(3)80
FBgn0020541	FBgn0020541	lethal (2) DTS4	l(2)DTS4
FBgn0020290	FBgn0020290	lethal (2) M167	l(2)M167
FBgn0003716	FBgn0003716	thickveins	tkv
FBgn0001485	FBgn0001485	lethal (1) 10Ae	l(1)10Ae
FBgn0002962	FBgn0002962	nanos	nanos
