#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0004061	FBgn0004061	bipolar oocyte	bip
FBgn0000911	FBgn0000911	female sterile (1) M121	fs(1)M121
FBgn0025156	FBgn0025156	ms(2)A11	ms(2)A11
FBgn0011256	FBgn0011256	male sterile (2) 30C	ms(2)30C
FBgn0001012	FBgn0001012	female sterile (3) A3	fs(3)A3
FBgn0000622	FBgn0000622	enhancer of yellow 6	e(y)6
FBgn0004367	FBgn0004367	meiotic 41	mei-41
FBgn0000837	FBgn0000837	female sterile (1) M21	fs(1)M21
FBgn0025142	FBgn0025142	ms(3)A5	ms(3)A5
FBgn0000943	FBgn0000943	female sterile (2) A13	fs(2)A13
FBgn0003189	FBgn0003189	rudimentary	r
FBgn0000309	FBgn0000309	chaetelle	chl
FBgn0011244	FBgn0011244	Heat shock protein 60B	Hsp60B
FBgn0005322	FBgn0005322	no mitochondrial derivative	nmd
FBgn0028635	FBgn0028635	indirect flight muscle (2) RU7	ifm(2)RU7
FBgn0000744	FBgn0000744	female sterile (1) A248	fs(1)A248
FBgn0000829	FBgn0000829	female sterile (1) M8	fs(1)M8
FBgn0267347	FBgn0267347	squash	squ
FBgn0010441	FBgn0010441	pelle	pll
FBgn0000783	FBgn0000783	female sterile (1) A1559	fs(1)A1559
FBgn0005048	FBgn0005048	extra venation	exr
FBgn0001023	FBgn0001023	female sterile (3) A14	fs(3)A14
FBgn0265630	FBgn0265630	strawberry notch	sno
FBgn0001142	FBgn0001142	Glutamine synthetase 1	Gs1
FBgn0020856	FBgn0020856	female sterile(2)261505	fs(2)261505
FBgn0010431	FBgn0010431	matrimony	mtrm
FBgn0003297	FBgn0003297	rubbish	rubb
FBgn0046704	FBgn0046704	Liprin-alpha	Liprin-alpha
FBgn0000617	FBgn0000617	TBP-associated factor 9	Taf9
FBgn0002566	FBgn0002566	light	lt
FBgn0002667	FBgn0002667	maternal effect early arrest D	mat(2)ea-D
FBgn0000760	FBgn0000760	female sterile (1) A475	fs(1)A475
FBgn0000862	FBgn0000862	female sterile (1) M56	fs(1)M56
FBgn0025145	FBgn0025145	ms(3)A2	ms(3)A2
FBgn0260936	FBgn0260936	scrawny	scny
FBgn0001133	FBgn0001133	grauzone	grau
FBgn0010314	FBgn0010314	Cyclin-dependent kinase subunit 30A	Cks30A
FBgn0003198	FBgn0003198	rags	rags
FBgn0061492	FBgn0061492	logjam	loj
FBgn0003165	FBgn0003165	pumilio	pum
FBgn0000422	FBgn0000422	Dopa decarboxylase	Ddc
FBgn0017457	FBgn0017457	U2 small nuclear riboprotein auxiliary factor 38	U2af38
FBgn0003733	FBgn0003733	torso	tor
FBgn0000924	FBgn0000924	female sterile (1) no eggs 12	fs(1)ne12
FBgn0000182	FBgn0000182	Bicaudal C	BicC
FBgn0037092	FBgn0037092	M6	M6
FBgn0011233	FBgn0011233	thousand points of light	tho
FBgn0000758	FBgn0000758	female sterile (1) A462	fs(1)A462
FBgn0002192	FBgn0002192	lethal (3) 63Bc	l(3)63Bc
FBgn0005632	FBgn0005632	fat facets	faf
FBgn0020803	FBgn0020803	ms(3)C131	ms(3)C131
FBgn0000888	FBgn0000888	female sterile (1) M86	fs(1)M86
FBgn0000915	FBgn0000915	female sterile (1) no eggs 1	fs(1)ne1
FBgn0265998	FBgn0265998	Darkener of apricot	Doa
FBgn0000828	FBgn0000828	female sterile (1) A147	fs(1)A147
FBgn0003447	FBgn0003447	singed	sn
FBgn0000881	FBgn0000881	female sterile (1) M79	fs(1)M79
FBgn0003459	FBgn0003459	stonewall	stwl
FBgn0003310	FBgn0003310	Star	S
FBgn0000806	FBgn0000806	female sterile (1) defective eggs 17	fs(1)de17
FBgn0000629	FBgn0000629	Enhancer of zeste	E(z)
FBgn0032197	FBgn0032197	ovaries absent	ova
FBgn0052351	FBgn0052351	Sperm-Leucylaminopeptidase 2	S-Lap2
FBgn0000891	FBgn0000891	female sterile (1) M89	fs(1)M89
FBgn0027110	FBgn0027110	ms(2)RK2	ms(2)RK2
FBgn0003978	FBgn0003978	valois	vls
FBgn0001014	FBgn0001014	female sterile (3) A5	fs(3)A5
FBgn0000938	FBgn0000938	female sterile (2) A8	fs(2)A8
FBgn0001024	FBgn0001024	female sterile (3) A15	fs(3)A15
FBgn0002820	FBgn0002820	male sterile (2) 10R	ms(2)10R
FBgn0004903	FBgn0004903	Ribonuclear protein at 97D	Rb97D
FBgn0261529	FBgn0261529	male sterile (2) 34Fe	ms(2)34Fe
FBgn0003480	FBgn0003480	spindle B	spn-B
