#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0016833	FBgn0016833	lethal (1) MZ20	l(1)MZ20
FBgn0001695	FBgn0001695	lethal (1) ESHS16	l(1)ESHS16
FBgn0010903	FBgn0010903	lethal (3) 06811	l(3)06811
FBgn0004635	FBgn0004635	rhomboid	rho
FBgn0262057	FBgn0262057	Serpin 77Ba	Spn77Ba
FBgn0011637	FBgn0011637	lethal(3)Laker	l(3)Lak
FBgn0065423	FBgn0065423	lethal (2) SH1519	l(2)SH1519
FBgn0010583	FBgn0010583	dreadlocks	dock
FBgn0003587	FBgn0003587	Suppressor of variegation 2-4	Su(var)2-4
FBgn0038427	FBgn0038427	endosomal maturation defective	ema
FBgn0010647	FBgn0010647	lethal (2) 08307a	l(2)08307a
FBgn0022280	FBgn0022280	lethal (2) IR30	l(2)IR30
FBgn0014235	FBgn0014235	lethal (2) 31Er	l(2)31Er
FBgn0060746	FBgn0060746	lethal (3) S065312b	l(3)S065312b
FBgn0001717	FBgn0001717	lethal (1) ESHS38	l(1)ESHS38
FBgn0024633	FBgn0024633	lethal (2) k14039	l(2)k14039
FBgn0013632	FBgn0013632	lethal (3) neo51	l(3)neo51
FBgn0027121	FBgn0027121	lethal (?) A135	l(?)A135
FBgn0001250	FBgn0001250	inflated	if
FBgn0010901	FBgn0010901	lethal (3) 06743	l(3)06743
FBgn0067654	FBgn0067654	sd-14	sd-14
FBgn0021908	FBgn0021908	lethal (2) k11537	l(2)k11537
FBgn0005758	FBgn0005758	lethal (1) TK402	l(1)TK402
FBgn0060669	FBgn0060669	lethal (3) S079304b	l(3)S079304b
FBgn0060364	FBgn0060364	lethal (3) S138415a	l(3)S138415a
FBgn0266599	FBgn0266599	Heat shock protein 70 cognate 4	Hsc70-4
FBgn0022147	FBgn0022147	lethal (2) k06019	l(2)k06019
FBgn0001920	FBgn0001920	lethal (2) 25Ca	l(2)25Ca
FBgn0029944	FBgn0029944	Downstream of kinase	Dok
FBgn0001446	FBgn0001446	lethal (1) 7Ch	l(1)7Ch
FBgn0000760	FBgn0000760	female sterile (1) A475	fs(1)A475
FBgn0000862	FBgn0000862	female sterile (1) M56	fs(1)M56
FBgn0015445	FBgn0015445	lethal (1) 7Do	l(1)7Do
FBgn0001703	FBgn0001703	lethal (1) ESHS24	l(1)ESHS24
FBgn0005398	FBgn0005398	parched	pch
FBgn0027337	FBgn0027337	lethal (1) 2Cg	l(1)2Cg
FBgn0065458	FBgn0065458	lethal (2) SH1384	l(2)SH1384
FBgn0060658	FBgn0060658	lethal (3) S082807	l(3)S082807
FBgn0003930	FBgn0003930	small nuclear RNA U4 at 39B	snRNA:U4:39B
FBgn0060760	FBgn0060760	lethal (3) S063319	l(3)S063319
FBgn0002469	FBgn0002469	lethal (3) SG24	l(3)SG24
FBgn0028114	FBgn0028114	lethal (3) S064316b	l(3)S064316b
FBgn0002398	FBgn0002398	lethal (3) 96Fb	l(3)96Fb
FBgn0061074	FBgn0061074	lethal (3) S016603b	l(3)S016603b
FBgn0000053	FBgn0000053	GART trifunctional enzyme	Gart
FBgn0040136	FBgn0040136	lethal (1) G0498	l(1)G0498
FBgn0000578	FBgn0000578	enabled	ena
FBgn0005632	FBgn0005632	fat facets	faf
FBgn0067356	FBgn0067356	lethal (3) 9358	l(3)9358
FBgn0262069	FBgn0262069	-	EG79
FBgn0060576	FBgn0060576	lethal (3) S095414	l(3)S095414
FBgn0021894	FBgn0021894	lethal (2) k13116	l(2)k13116
FBgn0261870	FBgn0261870	pokey	pky
FBgn0028598	FBgn0028598	lethal (2) k04301b	l(2)k04301b
FBgn0000881	FBgn0000881	female sterile (1) M79	fs(1)M79
FBgn0003388	FBgn0003388	shade	shd
FBgn0061497	FBgn0061497	lethal (2) 45Ap	l(2)45Ap
FBgn0015422	FBgn0015422	lethal (1) 17Da	l(1)17Da
FBgn0003414	FBgn0003414	Streak	Streak
FBgn0002635	FBgn0002635	malformed abdomen	mab
FBgn0027986	FBgn0027986	lethal (3) S132413	l(3)S132413
FBgn0019653	FBgn0019653	snaggle	sng
FBgn0028180	FBgn0028180	lethal (3) S024535b	l(3)S024535b
FBgn0011029	FBgn0011029	lethal (3) s2521	l(3)s2521
FBgn0002175	FBgn0002175	chem	chem
FBgn0021936	FBgn0021936	lethal (2) k10825	l(2)k10825
FBgn0000631	FBgn0000631	faint	fai
