"","Flybase_ID","X.SUBMITTED.ID","NAME","SYMBOL","phenotype","Essentiality","id","mosquito_count","fly_count","relationship"
"1","FBgn0000008","FBgn0000008","arc","a","lethal_recessive","Essential","AGAP010808",1,1,"1:1"
"3","FBgn0000014","FBgn0000014","abdominal A","abd-A","lethal_recessive","Essential","AGAP004662",3,3,"m:m"
"4","FBgn0000014","FBgn0000014","abdominal A","abd-A","lethal_recessive","Essential","AGAP013157",3,3,"m:m"
"5","FBgn0000014","FBgn0000014","abdominal A","abd-A","lethal_recessive","Essential","AGAP004660",3,3,"m:m"
"9","FBgn0000017","FBgn0000017","Abl tyrosine kinase","Abl","lethal_recessive","Essential","AGAP004989",1,1,"1:1"
"10","FBgn0000018","FBgn0000018","abnormal oocyte","abo","lethal_recessive","Essential","AGAP001900",1,1,"1:1"
"11","FBgn0000022","FBgn0000022","achaete","ac","sterile_recessive","Essential","AGAP000878",4,2,"m:m"
"12","FBgn0000022","FBgn0000022","achaete","ac","sterile_recessive","Essential","AGAP000876",4,2,"m:m"
"13","FBgn0000024","FBgn0000024","Acetylcholine esterase","Ace","lethal_recessive","Essential","AGAP000466",1,1,"1:1"
"14","FBgn0000028","FBgn0000028","abnormal chemosensory jump 6","acj6","lethal_recessive","Essential","AGAP002172",1,1,"1:1"
"15","FBgn0000032",NA,NA,NA,NA,"Non-essential","AGAP002387",1,1,"1:1"
"16","FBgn0000036",NA,NA,NA,NA,"Non-essential","AGAP002974",1,1,"1:1"
"17","FBgn0000037",NA,NA,NA,NA,"Non-essential","AGAP010513",1,1,"1:1"
"18","FBgn0000038",NA,NA,NA,NA,"Non-essential","AGAP000966",1,1,"1:1"
"19","FBgn0000039",NA,NA,NA,NA,"Non-essential","AGAP002972",1,1,"1:1"
"20","FBgn0000042","FBgn0000042","Actin 5C","Act5C","lethal_recessive","Essential","AGAP000651",2,1,"m:1"
"22","FBgn0000044",NA,NA,NA,NA,"Non-essential","AGAP001676",5,5,"m:m"
"23","FBgn0000044",NA,NA,NA,NA,"Non-essential","AGAP011514",5,5,"m:m"
"24","FBgn0000044",NA,NA,NA,NA,"Non-essential","AGAP011515",5,5,"m:m"
"25","FBgn0000044",NA,NA,NA,NA,"Non-essential","AGAP011516",5,5,"m:m"
"26","FBgn0000044",NA,NA,NA,NA,"Non-essential","AGAP005095",5,5,"m:m"
"42","FBgn0000052","FBgn0000052","Phosphoribosylformylglycinamidine synthase","Pfas","sterile_recessive","Essential","AGAP002091",1,1,"1:1"
"44","FBgn0000053","FBgn0000053","GART trifunctional enzyme","Gart","lethal_recessive","Essential","AGAP009786",1,1,"1:1"
