"","X.SUBMITTED.ID","FBID_KEY","NAME","SYMBOL","phenotype"
"1","FBgn0002962","FBgn0002962","nanos","nanos","sterile_dominant"
"2","FBgn0004651","FBgn0004651","Female sterile of Meyer","Fs(2)M","sterile_dominant"
"3","FBgn0005097","FBgn0005097","Female sterile (2) Y12","Fs(2)Y12","sterile_dominant"
"4","FBgn0003306","FBgn0003306","Rough wing","Rw","sterile_dominant"
"5","FBgn0005695","FBgn0005695","germ cell-less","gcl","sterile_dominant"
"6","FBgn0262743","FBgn0262743","Female sterile (2) Ketel","Fs(2)Ket","sterile_dominant"
"7","FBgn0003310","FBgn0003310","Star","S","sterile_dominant"
"8","FBgn0000511","FBgn0000511","dunkel","du","sterile_dominant"
"9","FBgn0000181","FBgn0000181","bicaudal","bic","sterile_dominant"
"10","FBgn0000450","FBgn0000450","dicephalic","dic","sterile_dominant"
"11","FBgn0001002","FBgn0001002","Female sterile (2) Told","Fs(2)Tld","sterile_dominant"
"12","FBgn0261797","FBgn0261797","Dynein heavy chain 64C","Dhc64C","sterile_dominant"
"13","FBgn0003015","FBgn0003015","oskar","osk","sterile_dominant"
"14","FBgn0000807","FBgn0000807","Female sterile of Grell","Fs(2)G","sterile_dominant"
"15","FBgn0004893","FBgn0004893","brother of odd with entrails limited","bowl","sterile_dominant"
"16","FBgn0000999","FBgn0000999","Female sterile (2) Tarhos","Fs(2)Tar","sterile_dominant"
"17","FBgn0004023","FBgn0004023","whirligig","wrl","sterile_dominant"
"18","FBgn0000971","FBgn0000971","Female sterile (2) Himca","Fs(2)Him","sterile_dominant"
"19","FBgn0000824","FBgn0000824","female sterile (1) K1563","fs(1)K1563","sterile_dominant"
"20","FBgn0260632","FBgn0260632","dorsal","dl","sterile_dominant"
"21","FBgn0000952","FBgn0000952","Female sterile D10","Fs(2)D10","sterile_dominant"
"22","FBgn0003079","FBgn0003079","Raf oncogene","Raf","sterile_dominant"
"23","FBgn0003028","FBgn0003028","ovo","ovo","sterile_dominant"
"24","FBgn0000015","FBgn0000015","Abdominal B","Abd-B","sterile_dominant"
"25","FBgn0000184","FBgn0000184","Bicaudal F","BicF","sterile_dominant"
"26","FBgn0014044","FBgn0014044","Su(tor)2-180","Su(tor)2-180","sterile_dominant"
"27","FBgn0265011","FBgn0265011","Notopleural","Np","sterile_dominant"
"28","FBgn0002790","FBgn0002790","Monoplane","Mpe","sterile_dominant"
"29","FBgn0024752","FBgn0024752","Fs(2)1","Fs(2)1","sterile_dominant"
"30","FBgn0000987","FBgn0000987","Female sterile (2) Kompolt","Fs(2)Kom","sterile_dominant"
"31","FBgn0087040","FBgn0087040","alpha-Tubulin at 67C","alphaTub67C","sterile_dominant"
"32","FBgn0000951","FBgn0000951","Female sterile (2) Billa","Fs(2)Bil","sterile_dominant"
"33","FBgn0000533","FBgn0000533","easter","ea","sterile_dominant"
"34","FBgn0000953","FBgn0000953","Female sterile (2) Dorog","Fs(2)Dor","sterile_dominant"
"35","FBgn0000299","FBgn0000299","Collagen type IV alpha 1","Col4a1","sterile_dominant"
"36","FBgn0002542","FBgn0002542","lodestar","lds","sterile_dominant"
"37","FBgn0001000","FBgn0001000","Female sterile (2) Tekele","Fs(2)Tek","sterile_dominant"
"38","FBgn0010075","FBgn0010075","Male sterile (2) of Meyer","Ms(2)M","sterile_dominant"
"39","FBgn0000427","FBgn0000427","defective chorion","dec","sterile_dominant"
"40","FBgn0001006","FBgn0001006","Female sterile (2) X10","Fs(2)X10","sterile_dominant"
"41","FBgn0004045","FBgn0004045","Yolk protein 1","Yp1","sterile_dominant"
"42","FBgn0003449","FBgn0003449","sans fille","snf","sterile_dominant"
